epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,10244.5,0.75651,0.51966,0.89678,0.95762,0.96159,0.9841,0.79023,0.73732,0.45323,0.86206,0.00117451,0.00117451,0.00117451
124,10328.1,0.72121,0.4796,0.89126,0.95819,0.96226,0.98406,0.7818,0.74236,0.46239,0.86282,0.00117389,0.00117389,0.00117389
125,10411.4,0.75508,0.51178,0.88711,0.94025,0.9797,0.98824,0.79512,0.72439,0.44155,0.85805,0.00117327,0.00117327,0.00117327
126,10495.3,0.71742,0.51634,0.89399,0.94703,0.98397,0.98232,0.80049,0.71158,0.46298,0.85411,0.00117266,0.00117266,0.00117266
127,10579.2,0.75742,0.53314,0.89308,0.95949,0.92258,0.97337,0.77309,0.74717,0.47785,0.859,0.00117204,0.00117204,0.00117204
128,10663.1,0.74481,0.52015,0.89476,0.9459,0.96411,0.9806,0.7855,0.73543,0.46964,0.85199,0.00117142,0.00117142,0.00117142
129,10747.1,0.7278,0.50767,0.89922,0.96776,0.97074,0.98529,0.78709,0.72968,0.44661,0.85407,0.0011708,0.0011708,0.0011708
130,10830.8,0.70277,0.48466,0.88278,0.96665,0.97596,0.98797,0.80457,0.71195,0.43447,0.85519,0.00117018,0.00117018,0.00117018
131,10914.9,0.7278,0.48671,0.89439,0.94831,0.95936,0.98354,0.78572,0.72565,0.46333,0.85616,0.00116956,0.00116956,0.00116956
132,10999.3,0.71382,0.49965,0.88422,0.95739,0.94756,0.98687,0.79377,0.75538,0.45992,0.85912,0.00116894,0.00116894,0.00116894
133,11084.3,0.74486,0.50904,0.88842,0.95898,0.9641,0.98791,0.79628,0.72939,0.44873,0.8529,0.00116833,0.00116833,0.00116833
134,11169.5,0.74296,0.48865,0.87807,0.96988,0.95912,0.9844,0.80295,0.72648,0.43774,0.8568,0.00116771,0.00116771,0.00116771
135,11254.3,0.73593,0.51193,0.89231,0.95443,0.96705,0.98327,0.79128,0.7358,0.44651,0.85701,0.00116709,0.00116709,0.00116709
