epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,157.987,0.72367,0.501,0.87651,0.95163,0.96933,0.98688,0.79528,0.71315,0.43171,0.8389,0.0010124,0.0010124,0.0010124
98,159.593,0.69293,0.50501,0.87377,0.97124,0.96205,0.9865,0.79647,0.7277,0.42165,0.84381,0.00100993,0.00100993,0.00100993
99,161.187,0.72745,0.50534,0.87759,0.97932,0.96468,0.98751,0.79636,0.75929,0.43554,0.8458,0.00100745,0.00100745,0.00100745
100,162.812,0.7227,0.50647,0.88012,0.97462,0.96907,0.98752,0.78915,0.75672,0.44185,0.84136,0.00100497,0.00100497,0.00100497
101,164.413,0.70922,0.50187,0.87488,0.96493,0.96213,0.98997,0.79429,0.73835,0.44714,0.84072,0.0010025,0.0010025,0.0010025
102,166.05,0.75979,0.52015,0.88292,0.97168,0.95392,0.98991,0.79195,0.77532,0.44427,0.86179,0.00100003,0.00100003,0.00100003
103,167.671,0.70571,0.50718,0.87593,0.96971,0.97214,0.99082,0.78486,0.74287,0.4278,0.85521,0.00099755,0.00099755,0.00099755
104,169.327,0.73738,0.50869,0.87361,0.98493,0.96947,0.98822,0.79461,0.73799,0.43574,0.85466,0.000995075,0.000995075,0.000995075
105,170.933,0.73409,0.52498,0.86961,0.98799,0.9731,0.9909,0.79138,0.73592,0.44011,0.85269,0.0009926,0.0009926,0.0009926
106,172.556,0.7139,0.50277,0.87488,0.98386,0.9768,0.9894,0.80417,0.72116,0.42701,0.84563,0.000990125,0.000990125,0.000990125
107,174.207,0.72207,0.48932,0.87147,0.98199,0.9687,0.98909,0.80065,0.74667,0.42914,0.84716,0.00098765,0.00098765,0.00098765
108,175.872,0.70373,0.50057,0.88382,0.98494,0.93214,0.98661,0.78251,0.75137,0.45533,0.85032,0.000985175,0.000985175,0.000985175
109,177.504,0.67495,0.47361,0.8565,0.95142,0.95611,0.98724,0.7961,0.7338,0.44847,0.84533,0.0009827,0.0009827,0.0009827
110,179.215,0.70498,0.50547,0.86956,0.92509,0.979,0.98391,0.80606,0.71448,0.44162,0.84118,0.000980225,0.000980225,0.000980225
111,180.874,0.70958,0.47884,0.8665,0.93529,0.97474,0.98483,0.78848,0.74646,0.44056,0.83793,0.00097775,0.00097775,0.00097775
112,182.54,0.71963,0.4917,0.88907,0.96419,0.96785,0.98834,0.81216,0.71895,0.41193,0.83616,0.000975275,0.000975275,0.000975275
113,184.173,0.70237,0.50293,0.86678,0.96377,0.94588,0.98421,0.79283,0.70679,0.42621,0.83739,0.0009728,0.0009728,0.0009728
114,185.789,0.69072,0.4959,0.87969,0.94792,0.9647,0.98173,0.78458,0.74867,0.45192,0.84285,0.000970325,0.000970325,0.000970325
115,187.413,0.71934,0.51087,0.86745,0.97807,0.95328,0.98432,0.79009,0.73726,0.43163,0.84459,0.00096785,0.00096785,0.00096785
116,189.041,0.68303,0.50227,0.87888,0.99616,0.95281,0.98672,0.79338,0.73921,0.42617,0.84695,0.000965375,0.000965375,0.000965375
117,190.643,0.70617,0.47319,0.88461,0.97897,0.97202,0.98729,0.78117,0.74916,0.42959,0.8448,0.0009629,0.0009629,0.0009629
118,192.298,0.68064,0.49338,0.87756,0.95774,0.96162,0.98916,0.79791,0.71763,0.44572,0.84104,0.000960425,0.000960425,0.000960425
119,193.978,0.69998,0.49019,0.87049,0.93985,0.96324,0.9741,0.77249,0.7601,0.46211,0.85182,0.00095795,0.00095795,0.00095795
120,195.636,0.67064,0.47639,0.87153,0.95955,0.96054,0.9686,0.77821,0.75156,0.47507,0.8539,0.000955475,0.000955475,0.000955475
121,197.273,0.67582,0.46194,0.86536,0.9627,0.96649,0.98084,0.79986,0.73742,0.43824,0.85354,0.000953,0.000953,0.000953
122,198.995,0.68795,0.48445,0.8717,0.97183,0.97806,0.99042,0.80014,0.72523,0.41419,0.8466,0.000950525,0.000950525,0.000950525
123,200.652,0.68657,0.4753,0.87112,0.97895,0.96404,0.98645,0.79587,0.7167,0.41247,0.84806,0.00094805,0.00094805,0.00094805
124,202.286,0.67658,0.48081,0.87664,0.94822,0.96799,0.97216,0.78561,0.72017,0.45182,0.85579,0.000945575,0.000945575,0.000945575
